doc_id,text
93,"Eski MHP Milletvekili, emekli büyükelçi Deniz Bölükbaşı, tedavi gördüğü hastanede 69 yaşında hayatını kaybetti https://t.co/Fs6G6HfRDT https://t.co/mUfDxh56tN"
94,"RT @AACanli: Ankara Cumhuriyet Başsavcılığı, 2011'deki Polislikten Komiserliğe Geçiş Sınavı sorularını önceden FETÖ üyelerine sızdırdıkları…"
95,"ABD'nin Austin kentinde yerel bir alışveriş mağazasında patlayan bombalı paket bir kişinin yaralanmasına neden oldu

ABD'de bombalı paket saldırılarına bir yenisi daha eklendi https://t.co/XYFMN3Tn3c https://t.co/2nx7mfUx4z"
96,"❝Üniversitelerin teröristlerden temizlenmesini istiyoruz❞

Boğaziçi Üniversitesi öğrencilerinden #Afrin açıklaması https://t.co/0lLz4I0Xlu https://t.co/OutJoILTq0"
97,"RT @aa_spor: Milli eskrimciler bugün #AASporMasası'na konuk olacak

Canlı yayın saat 12.00'de başlayacak https://t.co/vKchcy6IOq https://t.…"
98,#Afrin'de halk 18 teröristi TSK'ya teslim etti https://t.co/bwUPDVLlPh https://t.co/aXsKoqkIwX
99,"❝Türk askerini görünce kurban kestik❞ 

Teröristlerden temizlenen #Afrin’de halk yeniden güvenli günlere kavuşmanın mutluluğunu yaşıyor https://t.co/XGpjdxPsvU https://t.co/wxmWWlJ2na"
100,"- Eşim sadece vatanını, milletini düşündü
- Bu şahıslar kendi vatandaşlarına, Türk bayrağına nasıl ateş ettiler?

Fetullahçı Terör Örgütü'nün darbe girişiminde 15 Temmuz Şehitler Köprüsü'nde şehit düşen Köksal Karmil’in eşi mahkemede konuştu https://t.co/zeIlyDLgpx https://t.co/vDTzQMsbIo"
101,🗓 Bugün görülecek FETÖ/PDY davaları https://t.co/1W0yWmytqn
102,"RT @AACanli: TSK: ""Afrin'de 9 köyde 18 terörist, muhtarlar ve halk tarafından Türk Silahlı Kuvvetlerine teslim edildi."""
103,Saldırı hazırlığındaki 12 terörist etkisiz hale getirildi https://t.co/qZPBTLI4Xm https://t.co/P1htIdsZzZ
104,"RT @AACanli: Eski MHP Milletvekili, emekli büyükelçi Deniz Bölükbaşı, tedavi gördüğü hastanede 69 yaşında hayatını kaybetti."
105,#ABD Senatosundan Yemen tasarısına ret https://t.co/L6mnlwnPAD https://t.co/S81FxbLiA7
106,"RT @AACanli: Türk Silahlı Kuvvetlerince, Irak'ın kuzeyindeki Hakurk'ta saldırı hazırlığında olan 12 silahlı terörist, hava harekatıyla etki…"
107,RT @aa_spor: Milli eskrimciler AA Spor Masası'na konuk olacak https://t.co/et9aJwQpJ8 https://t.co/XYgaKZKH5R
108,"5 günde 150'den fazla sivil daha hayatını kaybetti

Esed rejimi #DoğuGuta'daki katliamını sürdürüyor https://t.co/QkD2PEpfzo https://t.co/jdcWJq9mxr"
109,#ABD'de bombalı paket saldırılarına bir yenisi daha eklendi https://t.co/wH2UjxtaUP https://t.co/nRPfe9raDa
110,AB'nin #Polonya'ya verdiği süre doluyor https://t.co/SgJTn1xLBU https://t.co/TeKarn8nOt
111,"❝Bölge halkı kardeşimiz. Türk, Kürt, Arap, Acem ve bu topraklarda yaşayan herkes dost ve kardeş❞

2. Ordu Komutanı Korgeneral İsmail Metin Temel’den Afrin’de kardeşlik mesajı https://t.co/tGqu8BSEfb https://t.co/u4PJpKxu5z"
112,"356 hakim ve savcının görev yeri değişti

HSK'dan mazeret ve ihtiyaç kararnamesi https://t.co/kHZ5ZQkTn1 https://t.co/XEqTtq6gMh"
113,"❝#ZeytinDalıHarekatı hedefe ulaşılana kadar devam edecek❞

Dışişleri Bakanı Çavuşoğlu, #Fransa'nın önde gelen gazetelerinden Le Monde'a makale yazdı https://t.co/h8ysuj5Hsx https://t.co/nhOA2mhJOk"
114,#Gazze'ye 456 milyon avro yardım taahhüdü https://t.co/OKfbeFo8w8 https://t.co/YOK0i4joba
115,ABD'li generalden nükleer açıklaması https://t.co/fKF8pjzBJi https://t.co/rJpbpQgoJj
116,Irak'ta Nevruz kutlamaları düzenlendi https://t.co/bpPUKaW22e https://t.co/xWrqNKrlZq
117,Hollanda Başbakanı Rutte: Türkiye mülteci anlaşmasına son derece bağlı kaldı https://t.co/MiOqbVjfwB https://t.co/FON9NdfesI
118,"Küresel piyasada petrol fiyatları, son 3 haftanın en yüksek seviyesine ulaştı https://t.co/ndCDA2MQBq https://t.co/noy4tuqIvT"
119,Binlerce İranlı Nevruz tatili için Türkiye'ye geçmeyi bekliyor https://t.co/c9KY73kRCq https://t.co/oTjtzTrFrS
120,"Amazon, dünyanın piyasa değeri en yüksek ikinci şirketi oldu https://t.co/lenvVLRIe5 https://t.co/iE1ChbtfT1"
121,#Özbekistan ile #Tacikistan arasında vizesiz seyahat başladı https://t.co/Lir0J0KpId https://t.co/AgsSbTERpQ
122,ABD Dışişleri Bakanlığı Kamu Diplomasisinden Sorumlu Müsteşar Vekili Nauert: Putin'in tekrar seçilmesi sürpriz olmadı https://t.co/4k86OXEooU https://t.co/QQqN4s82LN
123,#Avusturya'da Afgan sığınmacıların ülkeden gönderilmesi protesto edildi https://t.co/B0ytIZ9TWo https://t.co/0qqqAUaeEO
124,#Yunanistan #Gümülicne'de bulunan Ziraat Bankası şubesine taşlı saldırıda bulunuldu https://t.co/qyd8Nc3PTD https://t.co/udhd4sSAc9
125,"#Hollanda'da savcılık, cami yapılması planlanan alana haç diken PEGIDA hareketi üyelerinin yargılanmamasına karar verdi https://t.co/e0Z8uXe6Cj https://t.co/IZyFHf0rhB"
126,Afrinli ailelerin ekmeği Türkiye'den https://t.co/DNyARUYCcx https://t.co/QUOke94Pkw
127,#İsrail’den Twitter’a tehdit https://t.co/x7aefbFDiw https://t.co/0vprO8PRUQ
128,"RT @aa_spor: Darüşşafaka, sahasında Bayern Münih takımını 76-74 yenerek, seride 1-0 öne geçti

ULEB Avrupa Kupası yarı final ilk maçında Da…"
129,#İngiltere Hava Kuvvetlerine ait gösteri uçağı düştü https://t.co/qVeh27FVds https://t.co/oWK76kOOpp
130,"Doğu Guta'ya yönelik aralıksız bombardımanlarda 59 sivil daha hayatını kaybetti

Esed rejimi ve destekçileri Doğu Guta'daki katliamını sürdürüyor https://t.co/ulpiNZE6cv https://t.co/Mvf61OF9Kg"
131,"RT @aa_spor: THY Avrupa Ligi'nde Fenerbahçe Doğuş, İsrail ekibi Maccabi FOX'u 87-73 mağlup etti https://t.co/0cemLJeLZo https://t.co/puxH9U…"
132,"Kıbrıslı Türkler, Zeytin Dalı Harekatı'na destek amacıyla topladıkları yardımı Mehmetçik Vakfına bağışladı

KKTC'de #ZeytinDalıHarekatı'na destek https://t.co/zdY0Vs8Zg4 https://t.co/nvpfJcomSp"
133,"Karagöz'ün ilk kadın 'hayali' oldu

Geleneksel Türk gölge oyununun ustalarından Suat Veral'in yanında çocuk yaşta ""yardak"" olarak çalışmaya başlayan Merve İlken, 11 yıllık deneyiminin ardından Türkiye'nin ilk kadın Karagöz ustası oldu https://t.co/zgnwwDfk6F https://t.co/tSojSewHFX"
134,Fetullahçı Terör Örgütü'nün #15Temmuz darbe girişimi sırasında komuta merkezi olarak kullandığı Akıncı Üssü'ndeki eylemlere ilişkin dava sürüyor https://t.co/FNYQNqMgw4
135,Fetullahçı Terör Örgütü'nün '#Çorum İmamı' olduğu iddia edilen kişi yakalandı https://t.co/d6aUNRHLVr https://t.co/ITf6ZtYBux
136,"❝Türk askerini görünce kurban kestik❞ 

Teröristlerden temizlenen #Afrin’de halk yeniden güvenli günlere kavuşmanın mutluluğunu yaşıyor https://t.co/XGpjdxPsvU https://t.co/bhlxRLU9Uc"
