doc_id,token_id,token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio
10,8,Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0
10,10,oynandý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
11,3,1962,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0
11,4,Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,1962,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Chamberlain,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0
11,5,Chamberlain,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,100,0,0,0.0,3,0.0,0.0,3.0,1.0,0.0,0.0
11,9,NBA,1,1,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ile,0,0,0.0,3,0.5,2.0,0.0,0.0,0.0,0.0,rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0
11,10,rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,NBA,1,1,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,kýrdý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0
11,11,kýrdý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,P4K2xYxTsy,1,0,0.4,10,8.0,0.0,2.0,0.2,0.0,0.0
12,4,TRT,1,1,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,1974,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0
12,5,Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,TRT,1,1,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,çarþamba,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
12,6,çarþamba,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,hariç,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0
12,8,haftanýn,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,hariç,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,her,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
12,11,yayýn,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,günü,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
12,12,yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yayýn,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,baþladý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
12,13,baþladý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
13,1,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0
13,2,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0
13,3,1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0
13,4,Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
13,5,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,XgRob0bvPm,1,0,0.3,10,8.0,1.0,1.0,0.1,0.0,0.0
14,1,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0
14,2,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0
14,3,1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
14,4,Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Fransa,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0
14,5,Fransa,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0
14,8,test,0,0,0.0,4,3.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0
14,9,uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,test,0,0,0.0,4,3.0,1.0,0.0,0.0,0.0,0.0,yaptý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0
14,10,yaptý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,bNoLaxL1u3,0,0,0.3,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0
15,1,01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0
15,2,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0
15,3,1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0
15,4,Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Berry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0
15,5,Berry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,bir,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
15,9,uçaktan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,ile,0,0,0.0,3,0.5,2.0,0.0,0.0,0.0,0.0,atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
15,10,atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,uçaktan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
15,11,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0
15,12,kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,oldu,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0
15,13,oldu,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,E8DgXUxQk9,1,0,0.5,10,3.0,2.0,2.0,0.2,0.0,0.0
17,1,01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0
17,3,1872,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Dünyanýn,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
17,4,Dünyanýn,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,1872,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
17,6,ulusal,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,parký,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0
17,7,parký,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,ulusal,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,olan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0
17,9,Yellowstone,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,olan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0
17,10,Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,Yellowstone,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,Parký,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0
17,11,Parký,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,açýldý,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0
18,4,Islahat,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,1856,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Fermaný,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
